Kundennummer;Rechnungsnummer;Datum;Markt;Warengruppe;Position;Art. Nr.;Menge;Gewicht;Einheit;Artikelbezeichnung;Preis;Positionspreis;MwSt;EAN;Pfand;Aktion;MwSt. Code;Detailrichtpreis;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;10;000079;-19;;St;Ifco LiftLock;3.2;-60.8;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Food;10;511410;1;;Ds;Economy Sweet Corn - Maiskörner, 6 x 2,125 kg;5.14;30.84;0.80184;7610034526075;0;0;1;;
90032159;64131386;2026-08-12;BGH;Nearfood;10;975792;3;;Pk;Quality Einweghandschuhe Nitril, Grösse L, schwarz, 100 St;9.64;28.92;2.34252;7610034546639;0;0;2;;
90032159;64131386;2026-08-12;BGH;Food;20;511101;2;;Gl;Quality Kapernäpfel mit Stiel, 1,695 kg;21.7;43.4;1.1284;7610034524897;0;0;1;;
90032159;64131386;2026-08-12;BGH;Nonfood;20;991237;1;;Pk;Backstar Backpapier GN 1/1 53 x 32,5 cm Pack zu 300 Bogen;31.29;31.29;2.53449;7610222012854;0;0;2;;
90032159;64131386;2026-08-12;BGH;Food;30;512280;2;;Bt;Quality Pfeffer schwarz ganz, 800 g;19.78;39.56;1.02856;7610034518285;0;0;1;;
90032159;64131386;2026-08-12;BGH;Nonfood;30;991228;2;;Rl;Jet-Cut Frischhaltefolie PE Refill 45 cm x 500 m;27.25;54.5;4.4145;7610222701741;0;0;2;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;40;000079;5;;St;Ifco LiftLock;3.2;16;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Food;40;345771;1;;Bt;American Sandwich Toast nature, 7 x 825 g;4.8;33.6;0.8736;83228850000596;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;50;349611;1;;Kt;Hardy's Hüppen Topolinos, 300 Stück;26.7;26.7;0.6942;7610666001025;0;1;1;;
90032159;64131386;2026-08-12;BGH;Food;60;565650;1;;Kt;Heinz Tomato Ketchup, Beutel Cube, 100 x 20 g;14.99;14.99;0.38974;5413226100075;0;1;1;;
90032159;64131386;2026-08-12;BGH;Food;70;510190;1;;Kt;Quality Mayonnaise Portionen, 100 x 17 g;22.2;22.2;0.5772;7610034516588;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;80;399030;2;;Gl;Pommery Senf Meaux, 500 g;11.81;23.62;0.61412;3158697781010;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;90;201530;2;;Fl;Sriracha Hot Chilli Sauce, 815 g;5.39;10.78;0.28028;016229912420;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;100;512801;1;;Gl;Peppadew Wilde Paprika gefüllt mit Frischkäse, 2 x 1,5 kg;33.9;67.8;1.7628;16007788003293;0;1;1;;
90032159;64131386;2026-08-12;BGH;Food;110;100431;2;;Fl;Blaze Balsamicosauce, dickflüssig, 380 ml;9.51;19.02;0.49452;8015352303909;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;120;428120;1;;Fl;Nectaflor Blütenhonig, 2,8 kg;30.22;30.22;0.78572;7610184010080;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;130;100080;1;;Lt;Quality Rapsöl, 20 l;3.52;70.4;1.8304;7610034515147;0;0;1;;
90032159;64131386;2026-08-12;BGH;Food;140;345330;1;;Sa;Mangini Noccioletto, Haselnüsse mit Milchschokolade überzogen, 1 kg;22.99;22.99;0.59774;8004203103393;0;1;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;150;013702;1;3.305;kg;Quality Raclette, eckig, 1/2 Laib ca. 3,2 kg;10.93;36.12365;0.9392149;2953272999993;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;160;010455;1;2.013;kg;Cremo Greyerzer AOP, classic, ca. 2 kg;16.91;34.03983;0.88503558;2987945999997;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;170;016781;4;;Sc;Quality Grana Padano DOP, Flocken, 500 g;9.77;39.08;1.01608;2001678190008;0;0;7;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;180;016601;2;;kg;Quality Grana Padano DOP, gerieben, 1 kg;16.24;32.48;0.84448;4388040340352;0;0;7;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;190;019481;3;;Be;Galbani Mascarpone, 500 g;7.73;23.19;0.60294;8000430171013;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;200;024440;1;;Tp;Quality Vollrahm 35%, UHT, 12 x 1 l;5.9;70.8;1.8408;7610034505315;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;210;022600;1;;Tp;Quality Vollmilch 3,5%, UHT, 12 x 1 l;1.28;15.36;0.39936;7610034507807;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;220;096261;3;;Pk;Quality Vollei flüssig Import, Bodenhaltung, pasteurisiert, 1 kg;6.9;20.7;0.5382;7610034507609;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;230;019372;4;;St;Soignon Bûche de chèvre, Weichkäse, 1 kg;16.47;65.88;1.71288;3523237481000;0;0;1;;
90032159;64131386;2026-08-12;BGH;Molkerei/Backwaren;240;010131;1;;Pk;Berner Alphobelkäse AOP, gerollt, 600 g;27.95;27.95;0.7267;7600400001121;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;250;042780;7;;St;Kopfsalat rot / grün, gemischt, 8 St;2.62;146.72;3.81472;7613399056126;0;0;7;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;251;000079;7;;St;Ifco LiftLock;3.2;22.4;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;260;044611;1;;kg;Rüebli / Karotten Gastro, gewaschen, Inland, 10 kg;2.02;20.2;0.5252;7628072012832;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;261;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;270;045708;1;;kg;Zucchetti CH, 5 kg;2.62;13.1;0.3406;7610632980538;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;271;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;280;049127;2;;Kt;Champignons braun, frisch, 1 kg;9.22;18.44;0.47944;7610473014843;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;290;040972;2;;kg;Cherry Rispentomaten, 3 kg;9.82;58.92;1.53192;7610632984666;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;291;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;300;046594;2;;Be;Avocado Purée / Guacamole, 500 g;6.9;13.8;0.3588;8436008521063;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;310;044549;1;;kg;Rucola / Rauke, 1 kg;14.04;14.04;0.36504;7610632992456;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;320;045005;1;3;kg;Spinat, 3 kg;7.74;23.22;0.60372;2904065999997;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;321;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;330;045042;1;;kg;Jung-Spinat ungewaschen, 1 kg;18.98;18.98;0.49348;7610514851017;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;340;046990;1;;Sc;Brombeeren, CH, 250 g;6.43;6.43;0.16718;7610632050064;0;0;7;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;350;047420;1;;Sc;Johannisbeeren, CH, 250 g;5;5;0.13;7610632050071;0;0;7;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;360;041229;1;;Bt;Dill, 250 g;8.81;8.81;0.22906;7610632971932;0;0;1;;
90032159;64131386;2026-08-12;BGH;Metzgerei;370;081540;1;3.404;kg;Quality Bratspeck ohne Schwarte, ohne Knorpel, 1/1, ca. 3 kg;12.99;44.21796;1.14966696;2945670999996;0;1;1;;
90032159;64131386;2026-08-12;BGH;Metzgerei;380;002409;3;3.294;kg;Rinds-Filetspitz Kopf II, ca. 1,5 kg;39.9;131.4306;3.4171956;97610100000006;0;0;1;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;390;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64131386;2026-08-12;BGH;Früchte + Gemüse;400;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032159;64126994;2026-08-10;BGH;Food;10;213411;2;;kg;Economy Spaghetti, 5 kg;1.59;15.9;0.4134;4388040200779;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;20;564040;1;;Gl;Bosco d'oro Carpaccio, aus Sommertrüffeln, schwarz, 45 g;18.93;18.93;0.49218;8032680690549;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;30;125410;1;;Lt;Economy Olivenöl extra vergine Spanien, 5 l;8.2;41;1.066;8413080025689;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;40;391251;1;;Ke;Economy Salat-Mayonnaise, 9,4 kg;29.44;29.44;0.76544;7610034511705;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;50;345330;1;;Sa;Mangini Noccioletto, Haselnüsse mit Milchschokolade überzogen, 1 kg;22.99;22.99;0.59774;8004203103393;0;1;1;;
90032159;64126994;2026-08-10;BGH;Food;60;100080;1;;Lt;Quality Rapsöl, 20 l;3.52;70.4;1.8304;7610034515147;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;70;448060;2;;Ds;Hilcona Randensalat gewürfelt, 3 kg;15.25;30.5;0.793;7610227328127;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;80;111410;1;;Pk;Quality Zuckersticks schwarz, 1000 x 5 g;16.72;16.72;0.43472;7610034510647;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;90;580230;3;;Bt;Le Dragon Panko Paniermehl, 1 kg;6.67;20.01;0.52026;7613324116680;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;100;102971;1;;kg;Economy Paniermehl, 5 kg;2.24;11.2;0.2912;4388040255021;0;0;1;;
90032159;64126994;2026-08-10;BGH;Food;110;591117;2;;Ke;Valenzi Wildpreiselbeeren, 2 kg;15.01;30.02;0.78052;4100240150094;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;120;013702;2;6.615;kg;Quality Raclette, eckig, 1/2 Laib ca. 3,2 kg;10.93;72.30195;1.8798507;2953272999993;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;130;010455;1;2.303;kg;Cremo Greyerzer AOP, classic, ca. 2 kg;16.91;38.94373;1.01253698;2987945999997;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;140;022600;1;;Tp;Quality Vollmilch 3,5%, UHT, 12 x 1 l;1.28;15.36;0.39936;7610034507807;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;150;014641;15;;Be;Premium Burrata, 2 x 125 g;5.39;80.85;2.1021;7610034511026;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;160;019372;3;;St;Soignon Bûche de chèvre, Weichkäse, 1 kg;16.47;49.41;1.28466;3523237481000;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;170;010131;1;;Pk;Berner Alphobelkäse AOP, gerollt, 600 g;27.95;27.95;0.7267;7600400001121;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;180;010843;1;1.005;kg;Emmi Luzerner Rahmkäse, 1/4 Laib ca. 1,1 kg;22.29;22.40145;0.5824377;2900223999991;0;0;1;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;190;024790;1;;Ds;Floralp Vollrahm 35%, ohne Zucker, UHT, 6 x 500 g;6.4;38.4;0.9984;7612300013173;0;1;7;;
90032159;64126994;2026-08-10;BGH;Molkerei/Backwaren;200;025040;2;;Kt;Quality Kaffeerahm Portionen 15%, UHT, 200 x 12 g;11.3;22.6;0.5876;7610034505124;0;0;1;;
90032159;64126994;2026-08-10;BGH;Metzgerei;360;055710;1;;kg;Bell Pulled Beef tiefgekühlt, 4 x 1 kg;25.9;103.6;2.6936;7610162275326;0;0;1;;
90032159;64126994;2026-08-10;BGH;Metzgerei;400;087443;2;1.009;kg;Appenzeller Mostbröckli 1/2, IGP, ca. 500 g;63.9;64.4751;1.6763526;2976861999990;0;0;1;;
90032159;64126994;2026-08-10;BGH;Früchte + Gemüse;440;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;10;000079;-24;;St;Ifco LiftLock;3.2;-76.8;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;210;044107;1;;kg;Peperoni Tricolor, Import, 5 kg;4.88;24.4;0.6344;7610632977132;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;211;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;220;042780;7;;St;Kopfsalat rot / grün, gemischt, 8 St;2.5;140;3.64;7613399056126;0;0;7;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;221;000079;7;;St;Ifco LiftLock;3.2;22.4;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;230;044720;2;;Bd;Salbei Bund, 80 g;4.22;8.44;0.21944;7610632942598;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;240;043598;1;;Bt;Minze, 250 g;8.81;8.81;0.22906;7610632977873;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;250;040674;1;6;kg;Broccoli, ca. 6 kg;5.47;32.82;0.85332;2903734999993;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;251;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;260;048827;1;;kg;Zitronen, 6 kg;2.74;16.44;0.42744;7610632320723;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;261;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;270;040454;1;6;kg;Blumenkohl, ca. 7,5 kg;4.52;27.12;0.70512;2903704999992;0;0;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;271;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;280;047972;1;19.67;kg;Wassermelone Dumara, 2 Stück zu ca. 9 kg;1.25;24.5875;0.639275;2917234999995;0;1;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;290;040258;1;;kg;Auberginen, 5 kg;3.65;18.25;0.4745;7610632977057;0;1;1;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;291;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032159;64125501;2026-08-08;BGH;Früchte + Gemüse;300;046990;2;;Sc;Brombeeren, CH, 250 g;6.43;12.86;0.33436;7610632050064;0;0;7;;
