Kundennummer;Rechnungsnummer;Datum;Markt;Warengruppe;Position;Art. Nr.;Menge;Gewicht;Einheit;Artikelbezeichnung;Preis;Positionspreis;MwSt;EAN;Pfand;Aktion;MwSt. Code;Detailrichtpreis;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;10;000079;-19;;St;Ifco LiftLock;3.2;-60.8;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Metzgerei;10;002066;1;5.886;kg;Rinds-Entrecote, ca. 5 kg;45.05;265.1643;6.8942718;97610011014680;0;0;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;30;002092;2;4.159;kg;Kalbs-Unterspälte, enthäutet, ca. 2 kg;46.43;193.10237;5.02066162;97610011044182;0;0;1;;
90032154;64113362;2026-07-31;BGH;Food;40;512610;4;;Ds;Quality Petersilie, luftgetrocknet, 66 g;5.32;21.28;0.55328;7610034518957;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;50;048827;2;;kg;Zitronen, 6 kg;2.89;34.68;0.90168;7610632320723;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;51;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;60;047754;1;4.2;kg;Limetten / Limes, 4,2 kg;4.01;16.842;0.437892;2905054999998;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;70;043334;1;5;kg;Lattich, 5 kg;4.83;24.15;0.6279;2903904999990;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;71;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;80;041241;3;;St;Eichblattsalat rot / grün Schweiz Hydro, gemischt, 8 St;2.12;50.88;1.32288;7613399058038;0;0;7;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;81;000079;3;;St;Ifco LiftLock;3.2;9.6;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;90;040329;1;;Bt;Basilikum, 1 kg;29.39;29.39;0.76414;7610632989975;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;110;044107;2;;kg;Peperoni Tricolor, Import, 5 kg;4.3;43;1.118;7610632977132;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;111;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;120;045708;1;;kg;Zucchetti CH, 5 kg;2.71;13.55;0.3523;7610632980538;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;121;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;130;045777;1;;Sc;Zucchetti Mini-Gemüse ohne Blüte, ca. 5 - 6 Stück;7.77;7.77;0.20202;7610632991527;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;140;044376;4;;Sc;Natura Bio Sango-Rettichsprossen, 100 g;5.77;23.08;0.60008;7630051906254;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;150;045208;1;;kg;Tomaten, rund, 6 kg;3.17;19.02;0.49452;7610632980576;0;1;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;151;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;160;040972;1;;kg;Cherry Rispentomaten, 3 kg;9.37;28.11;0.73086;7610632984666;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;161;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;170;049135;6;;kg;Champignons weiss, frisch, 1 kg;6.83;40.98;1.06548;7610632995211;0;1;1;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;180;024440;2;;Tp;Quality Vollrahm 35%, UHT, 12 x 1 l;5.84;140.16;3.64416;7610034505315;0;0;1;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;190;010201;5;;Bt;Economy Gran Moravia, gerieben, 1 kg;15.63;78.15;2.0319;4388040201158;0;0;7;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;200;012201;5;;Bt;Economy Gran Moravia, gehobelt, 500 g;8.7;43.5;1.131;4388040201172;0;0;7;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;210;013702;1;3.305;kg;Quality Raclette, eckig, 1/2 Laib ca. 3,2 kg;10.82;35.7601;0.9297626;2953272999993;0;0;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;220;001494;2;5.19;kg;Bell Poulet-Brust ohne Haut ohne Innenfilet, 150-170 g, ca. 2,5 kg;22.28;115.6332;3.0064632;97610011946196;0;0;1;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;230;005010;2;;kg;Quality Joghurt Nature, 3 kg;2.44;14.64;0.38064;7610034534230;0;0;7;;
90032154;64113362;2026-07-31;BGH;Food;240;438073;4;;Sc;Picosa Datteltomaten getrocknet, 1,1 kg;24.12;96.48;2.50848;7610107110569;0;0;1;;
90032154;64113362;2026-07-31;BGH;Food;250;590111;1;;Lt;Quality Sonnenblumenöl, 20 l;4.41;88.2;2.2932;7610034515024;0;0;1;;
90032154;64113362;2026-07-31;BGH;Food;260;110060;1;;Pk;Feinkristallzucker, 10 x 1 kg;1.36;13.6;0.3536;7610034510661;0;0;1;;
90032154;64113362;2026-07-31;BGH;Food;270;509091;3;;Bt;Quality Kapern Capucines, 4 x 1100 g;9.67;116.04;3.01704;7610034515413;0;0;1;;
90032154;64113362;2026-07-31;BGH;Nonfood;280;993090;6;;Pk;Quality Salatschale PP rund FSC, 750 ml, Pack zu 50 Stück;11.03;66.18;5.36058;7610034537101;0;0;8;;
90032154;64113362;2026-07-31;BGH;Nonfood;290;993330;6;;Pk;Quality Deckel PP zu Salatschale rund 750 ml, Pack zu 50 Stück;8.81;52.86;4.28166;7610034537125;0;0;8;;
90032154;64113362;2026-07-31;BGH;Metzgerei;300;078253;4;21.408;kg;Quality Hinterschinken, ohne Schwarte, 1/1, ca. 4,8 kg;10.88;232.91904;6.05589504;2950463999992;0;1;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;310;083419;3;2.718;kg;El Campeon Chorizo pikant geschält, ca. 950 g;21.68;58.92624;1.53208224;2935691999990;0;0;7;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;320;014810;3;;St;Mozzarella di Bufala Campana DOP, 16 x 125 g;2.24;107.52;2.79552;80434238;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;330;044540;1;;kg;Rucola / Rauke ungewaschen, 1 kg;12.9;12.9;0.3354;7610514613219;0;0;1;;
90032154;64113362;2026-07-31;BGH;Nonfood;340;996130;1;;St;Gefu Vierkantreibe;22.12;22.12;1.79172;4006664895620;0;0;3;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;350;046909;1;;kg;Birchermüesli Extra fixfertig, 3 kg;10.37;31.11;0.80886;7610227917123;0;0;7;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;360;018891;6;;Ds;Ömür Hirtenkäse 55%, 800 g;9.76;58.56;1.52256;4002566002449;0;0;1;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;370;010131;1;;Pk;Berner Alphobelkäse AOP, gerollt, 600 g;27.67;27.67;0.71942;7600400001121;0;0;1;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;380;010884;1;1.708;kg;Appenzeller, Mild-Würzig, 1/4 Laib ca. 1,6 kg;14.21;24.27068;0.63103768;2920043999995;0;1;7;;
90032154;64113362;2026-07-31;BGH;Molkerei/Backwaren;390;012971;1;1.089;kg;Nuss Käse, 1/1 Laib ca. 1 kg;24.95;27.17055;0.7064343;2935031999994;0;0;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;400;078299;1;1.368;kg;Quality Truten Brust geräucht, gekocht, Frankreich, 1/3, ca. 1,3 kg;19.11;26.14248;0.67970448;2949556999995;0;0;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;410;078311;1;1.826;kg;Bell Hirten Vorderschinken 1/2, mit Schwarte, ca. 2 kg;13.37;24.41362;0.63475412;2924260999998;0;0;1;;
90032154;64113362;2026-07-31;BGH;Metzgerei;420;002409;3;4.617;kg;Rinds-Filetspitz Kopf II, ca. 1,5 kg;39.5;182.3715;4.741659;97610100000006;0;0;1;;
90032154;64113362;2026-07-31;BGH;Nearfood;430;989510;4;;Pk;Duni Servietten, 1/8 Falz, 3-lagig, 40 x 40 cm, weiss, 250 St;9.2;36.8;2.9808;7321012028503;0;1;3;;
90032154;64113362;2026-07-31;BGH;Nonfood;440;999530;2;;Pk;Kassenrolle 76/70/17 mm, Pack zu 10 Rollen;11.85;23.7;1.9197;7610588111130;0;0;2;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;450;048130;2;;kg;Orangen blond, gepackt, ca. 2 kg;2.18;8.72;0.22672;7613399009115;0;0;7;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;460;044776;1;;Ki;Schnittsalat Oriental, 800 g;21.15;21.15;0.5499;7610632965849;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;470;046576;6;;St;Avocado essreif Stück, ca. 280 g;1.94;11.64;0.30264;7610632002001;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;480;046922;1;;Sc;Blueberries, 500 g;4.85;4.85;0.1261;7610632010297;0;1;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;490;047420;1;;Sc;Johannisbeeren, CH, 250 g;4.95;4.95;0.1287;7610632050071;0;0;7;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;500;047380;1;;Sc;Himbeeren, CH, 250 g;6.65;6.65;0.1729;7610632050019;0;0;1;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;510;000079;2;;St;Ifco LiftLock;3.2;6.4;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;520;000079;4;;St;Ifco LiftLock;3.2;12.8;0;2000007960008;0;0;0;;
90032154;64113362;2026-07-31;BGH;Früchte + Gemüse;530;000079;1;;St;Ifco LiftLock;3.2;3.2;0;2000007960008;0;0;0;;
