"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Beverage (Getränke)"	"11763"	"336"	"198"	"282"	"278"	"506"	"610"	"899"	"425"	"237"	"259"	"241"	"410"	"457"	"723"	"279"	"163"	"377"	"377"	"330"	"627"	"617"	"386"	"177"	"287"	"306"	"410"	"590"	"690"	"286"	""	""
"Espresso"	"948"	"24"	"18"	"35"	"26"	"52"	"48"	"73"	"45"	"25"	"19"	"37"	"59"	"39"	"29"	"18"	"13"	"37"	"40"	"20"	"46"	"37"	"22"	"11"	"30"	"30"	"35"	"37"	"32"	"11"	""	""
"ohne"	"697"	"37"	"18"	"14"	"19"	"40"	"37"	"45"	"33"	"16"	"14"	"11"	"14"	"21"	"37"	"13"	"4"	"24"	"21"	"13"	"39"	"43"	"31"	"8"	"22"	"11"	"25"	"33"	"35"	"19"	""	""
"Wasser mit 100cl"	"607"	"12"	"13"	"11"	"9"	"33"	"27"	"40"	"23"	"12"	"11"	"14"	"30"	"18"	"38"	"16"	"9"	"13"	"24"	"17"	"31"	"32"	"16"	"10"	"22"	"16"	"27"	"32"	"40"	"11"	""	""
"Lager 25cl"	"601"	"12"	"6"	"23"	"21"	"29"	"28"	"38"	"16"	"18"	"19"	"8"	"23"	"20"	"36"	"16"	"8"	"38"	"12"	"18"	"32"	"16"	"20"	"3"	"23"	"21"	"16"	"26"	"44"	"11"	""	""
"Coca Cola Zero 33cl"	"556"	"20"	"18"	"12"	"15"	"30"	"26"	"34"	"23"	"6"	"14"	"11"	"24"	"18"	"26"	"11"	"1"	"9"	"17"	"19"	"38"	"26"	"10"	"12"	"26"	"21"	"21"	"21"	"25"	"22"	""	""
"Wasser ohne 100cl"	"517"	"9"	"7"	"8"	"9"	"19"	"23"	"43"	"18"	"13"	"7"	"6"	"21"	"15"	"31"	"10"	"11"	"13"	"23"	"18"	"30"	"25"	"21"	"6"	"11"	"9"	"34"	"30"	"28"	"19"	""	""
"Wasser mit 50cl"	"443"	"9"	"11"	"10"	"15"	"13"	"15"	"17"	"19"	"6"	"19"	"12"	"25"	"25"	"16"	"9"	"10"	"13"	"21"	"16"	"22"	"22"	"13"	"13"	"9"	"19"	"10"	"20"	"23"	"11"	""	""
"Coca Cola 33cl"	"415"	"23"	"10"	"10"	"11"	"15"	"17"	"33"	"22"	"8"	"6"	"11"	"17"	"23"	"31"	"9"	"1"	"15"	"20"	"15"	"14"	"15"	"15"	"8"	"13"	"7"	"6"	"14"	"18"	"8"	""	""
"Kaffee"	"365"	"9"	"7"	"7"	"10"	"23"	"9"	"31"	"9"	"4"	"6"	"11"	"20"	"11"	"10"	"12"	"9"	"12"	"15"	"18"	"15"	"15"	"14"	"3"	"15"	"14"	"9"	"15"	"21"	"11"	""	""
"Wasser ohne 50cl"	"347"	"10"	"7"	"3"	"12"	"14"	"27"	"13"	"15"	"4"	"10"	"7"	"14"	"21"	"15"	"9"	"7"	"18"	"13"	"6"	"16"	"22"	"13"	"7"	"10"	"8"	"9"	"13"	"19"	"5"	""	""
"Aperol Spritz 15cl"	"238"	"6"	""	"7"	"8"	"10"	"16"	"25"	"2"	"3"	"9"	"4"	"6"	"16"	"33"	"1"	""	"1"	"5"	"3"	"25"	"11"	"5"	"3"	"1"	"3"	"10"	"13"	"8"	"4"	""	""
"Hausgemachter Eistee 30cl"	"205"	"11"	"4"	"4"	"7"	"3"	"11"	"22"	"9"	"12"	"4"	"2"	"3"	"9"	"5"	"5"	"4"	"8"	"7"	"10"	"4"	"11"	"4"	"4"	"1"	"4"	"10"	"14"	"13"	""	""	""
"Hanenwasser 5dl"	"197"	"6"	"3"	"9"	"7"	"6"	"10"	"17"	"8"	"5"	"4"	"3"	"9"	"6"	"6"	"10"	"1"	"7"	"8"	"3"	"20"	"6"	"5"	"5"	"8"	"5"	"3"	"3"	"1"	"13"	""	""
