"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Food (Speisen)"	"12328"	"371"	"279"	"316"	"314"	"497"	"562"	"752"	"443"	"289"	"304"	"308"	"448"	"531"	"588"	"295"	"190"	"401"	"381"	"391"	"673"	"623"	"405"	"223"	"369"	"335"	"463"	"590"	"656"	"331"	""	""
"Pizza und Küche"	"592"	"11"	"10"	"16"	"12"	"29"	"25"	"40"	"25"	"14"	"18"	"15"	"12"	"25"	"33"	"12"	"5"	"24"	"12"	"14"	"42"	"34"	"24"	"9"	"21"	"13"	"16"	"36"	"29"	"16"	""	""
"Pizza Prosciutto TA"	"465"	"3"	"15"	"26"	"20"	"24"	"24"	"14"	"11"	"23"	"24"	"22"	"16"	"20"	"4"	"4"	"9"	"20"	"12"	"21"	"34"	"16"	"6"	"11"	"23"	"18"	"15"	"20"	"10"	""	""	""
"Pizza und Küche"	"431"	"7"	"5"	"10"	"8"	"21"	"23"	"33"	"16"	"9"	"15"	"5"	"9"	"14"	"18"	"12"	"5"	"17"	"9"	"9"	"33"	"30"	"24"	"4"	"10"	"10"	"12"	"33"	"16"	"14"	""	""
"Pizza Prosciutto e Funghi TA"	"396"	"6"	"8"	"20"	"28"	"14"	"29"	"18"	"7"	"14"	"21"	"19"	"16"	"14"	"6"	"3"	"10"	"14"	"9"	"20"	"17"	"12"	"12"	"11"	"21"	"10"	"8"	"16"	"9"	"4"	""	""
"Pizza Margherita Classico TA"	"375"	"8"	"12"	"19"	"13"	"14"	"23"	"13"	"8"	"12"	"11"	"11"	"18"	"20"	"3"	"2"	"9"	"17"	"18"	"16"	"23"	"24"	"4"	"14"	"19"	"13"	"11"	"9"	"8"	"3"	""	""
"Der Gemischte"	"340"	"8"	"4"	"10"	"6"	"10"	"9"	"19"	"11"	"4"	"5"	"10"	"5"	"11"	"24"	"12"	"5"	"12"	"17"	"8"	"14"	"25"	"13"	"8"	"13"	"9"	"15"	"19"	"23"	"11"	""	""
"Der Blattsalat"	"269"	"7"	"4"	"3"	"6"	"7"	"16"	"14"	"6"	"4"	"3"	"8"	"4"	"11"	"25"	"6"	"9"	"9"	"10"	"11"	"17"	"14"	"10"	"4"	"7"	"6"	"7"	"15"	"17"	"9"	""	""
"Die Carbonara Pasta Linguine"	"214"	"7"	"2"	"7"	"3"	"4"	"10"	"24"	"10"	"3"	"3"	"3"	"7"	"4"	"16"	"7"	"3"	"9"	"11"	"5"	"13"	"6"	"5"	"4"	"3"	"8"	"10"	"10"	"10"	"7"	""	""
"Pizza Royal Margherita"	"209"	"10"	"9"	"3"	"5"	"10"	"10"	"10"	"13"	"5"	"6"	"4"	"4"	"9"	"11"	"3"	""	"1"	"5"	"5"	"10"	"17"	"8"	"4"	"9"	"7"	"3"	"12"	"13"	"3"	""	""
"Tagesmenu 2"	"205"	""	"18"	"15"	"16"	"16"	"6"	""	""	"6"	"4"	"7"	"9"	"6"	""	""	"5"	"3"	"2"	"7"	"14"	""	""	"8"	"19"	"13"	"16"	"15"	""	""	""	""
"Die Lachspasta Trofie"	"182"	"9"	"3"	""	"1"	"6"	"7"	"14"	"7"	"4"	"2"	"1"	"4"	"11"	"10"	"5"	"5"	"6"	"2"	"4"	"16"	"11"	"8"	"1"	"3"	"4"	"4"	"13"	"15"	"6"	""	""
"Pizza Vegetariana TA"	"181"	"3"	"4"	"11"	""	"8"	"7"	"7"	"3"	"5"	"2"	"7"	"8"	"11"	"2"	"1"	"4"	"7"	"2"	"7"	"21"	"4"	"6"	"13"	"7"	"7"	"8"	"7"	"4"	"5"	""	""
"Glace 1 Kugel"	"175"	"15"	"2"	""	"6"	"17"	"11"	"14"	"9"	"3"	"1"	"1"	"2"	"3"	"8"	"5"	"5"	"7"	"10"	"7"	"6"	"10"	"7"	"1"	""	"2"	"5"	"8"	"4"	"6"	""	""
"Die San Remo Pasta Campanelle"	"174"	"2"	"4"	"6"	"4"	"9"	"6"	"17"	"4"	"1"	"6"	"2"	"7"	"3"	"15"	"7"	""	"6"	"2"	"4"	"6"	"8"	"9"	"4"	"6"	"8"	"3"	"16"	"7"	"2"	""	""
"Die Limone Minze Ricotta Ravioli"	"174"	"2"	"2"	"3"	"1"	"9"	"5"	"15"	"6"	"7"	"6"	"5"	"4"	"9"	"9"	"5"	"8"	"6"	"7"	"5"	"13"	"7"	"6"	"3"	"1"	"4"	"2"	"5"	"16"	"3"	""	""
"Die Rind Pasta Campanelle"	"173"	"4"	"2"	"1"	"1"	"6"	"10"	"16"	"11"	"3"	""	"1"	"8"	"4"	"15"	"8"	"1"	"7"	"2"	"4"	"14"	"6"	"4"	"3"	"2"	"7"	"4"	"8"	"12"	"9"	""	""
"Tagesmenu 1"	"169"	""	"13"	"15"	"17"	"8"	"7"	""	""	"7"	"11"	"11"	"13"	"12"	""	""	"7"	"6"	"10"	"10"	"3"	""	""	"2"	"4"	"4"	"8"	"1"	""	""	""	""
"Die Gamberi Pasta Linguine"	"166"	"7"	""	"4"	"3"	"1"	"9"	"20"	"6"	"5"	"1"	"1"	"3"	"9"	"11"	"2"	""	"5"	"2"	"4"	"8"	"11"	"5"	"2"	"4"	"9"	"2"	"6"	"12"	"14"	""	""
"Pasta Pollo TA"	"164"	"4"	"7"	"4"	"6"	"4"	"8"	"12"	"1"	"11"	"11"	"6"	"7"	"4"	"2"	""	"7"	"9"	"3"	"9"	"3"	"5"	"2"	"5"	"3"	"4"	"9"	"6"	"10"	"2"	""	""
"Pizza Prosciutto e Funghi"	"164"	"6"	"5"	"2"	"5"	"7"	"6"	"10"	"4"	"1"	"4"	"7"	"4"	"8"	"13"	"2"	"2"	"2"	"5"	"8"	"7"	"10"	"5"	"5"	"10"	"9"	"3"	"4"	"7"	"3"	""	""
"Die Burrata"	"162"	"4"	"4"	"1"	"2"	"2"	"9"	"8"	"6"	"3"	"4"	"2"	"4"	"10"	"13"	"5"	"3"	"3"	"1"	"6"	"6"	"13"	"5"	"1"	"4"	"8"	"2"	"13"	"16"	"4"	""	""
"À point"	"158"	"7"	"1"	"2"	"2"	"3"	"3"	"8"	"10"	"2"	"2"	"2"	"1"	"7"	"7"	"9"	"1"	"7"	"9"	"10"	"8"	"11"	"6"	"2"	"6"	"3"	"5"	"5"	"19"	""	""	""
"Pizza Margherita Classico"	"158"	"8"	"4"	"5"	"13"	"7"	"7"	"12"	"7"	"2"	"4"	"3"	"6"	"5"	"6"	"1"	"2"	"2"	"3"	"1"	"11"	"6"	"9"	""	"6"	"3"	"3"	"6"	"13"	"3"	""	""
"Der Burger"	"156"	"13"	""	"3"	"1"	"5"	"4"	"11"	"5"	"2"	"3"	"2"	""	"7"	"8"	"8"	"1"	"6"	"8"	"10"	"8"	"12"	"8"	"2"	"7"	"3"	"3"	"4"	"12"	""	""	""
"Die Zucchetti Pasta Campanelle"	"155"	"2"	"6"	"6"	"5"	"7"	"9"	"11"	"7"	""	"8"	"3"	"4"	"8"	"7"	"2"	"3"	"6"	""	"3"	"11"	"3"	"7"	"3"	"4"	"5"	"3"	"13"	"8"	"1"	""	""
