"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Beverage (Getränke)"	"CHF 94521,20"	"CHF 2012,40"	"CHF 1176,40"	"CHF 1721,90"	"CHF 1965,90"	"CHF 4309,10"	"CHF 5514,10"	"CHF 7536,00"	"CHF 2902,60"	"CHF 2061,30"	"CHF 1755,70"	"CHF 1613,30"	"CHF 3979,40"	"CHF 3503,60"	"CHF 6629,30"	"CHF 1976,90"	"CHF 1336,10"	"CHF 2568,80"	"CHF 3029,50"	"CHF 2943,50"	"CHF 5154,80"	"CHF 5279,70"	"CHF 2700,10"	"CHF 1145,10"	"CHF 1867,00"	"CHF 2239,40"	"CHF 4371,50"	"CHF 5283,10"	"CHF 6159,80"	"CHF 1784,90"	""	""
"Wasser mit 100cl"	"CHF 5690,50"	"CHF 114,00"	"CHF 123,50"	"CHF 104,50"	"CHF 85,50"	"CHF 313,50"	"CHF 256,50"	"CHF 380,00"	"CHF 218,50"	"CHF 114,00"	"CHF 104,50"	"CHF 133,00"	"CHF 285,00"	"CHF 161,50"	"CHF 361,00"	"CHF 152,00"	"CHF 85,50"	"CHF 123,50"	"CHF 209,00"	"CHF 161,50"	"CHF 285,00"	"CHF 294,50"	"CHF 152,00"	"CHF 95,00"	"CHF 209,00"	"CHF 142,50"	"CHF 256,50"	"CHF 285,00"	"CHF 380,00"	"CHF 104,50"	""	""
"Wasser ohne 100cl"	"CHF 4854,50"	"CHF 85,50"	"CHF 66,50"	"CHF 66,50"	"CHF 85,50"	"CHF 180,50"	"CHF 218,50"	"CHF 408,50"	"CHF 171,00"	"CHF 123,50"	"CHF 66,50"	"CHF 57,00"	"CHF 190,00"	"CHF 133,00"	"CHF 294,50"	"CHF 95,00"	"CHF 104,50"	"CHF 123,50"	"CHF 209,00"	"CHF 171,00"	"CHF 285,00"	"CHF 237,50"	"CHF 199,50"	"CHF 57,00"	"CHF 104,50"	"CHF 85,50"	"CHF 323,00"	"CHF 275,50"	"CHF 256,50"	"CHF 180,50"	""	""
"Espresso"	"CHF 4616,30"	"CHF 127,20"	"CHF 90,10"	"CHF 164,30"	"CHF 137,80"	"CHF 275,60"	"CHF 217,30"	"CHF 386,90"	"CHF 238,50"	"CHF 132,50"	"CHF 100,70"	"CHF 164,30"	"CHF 275,60"	"CHF 180,20"	"CHF 121,90"	"CHF 95,40"	"CHF 68,90"	"CHF 185,50"	"CHF 169,60"	"CHF 79,50"	"CHF 217,30"	"CHF 196,10"	"CHF 116,60"	"CHF 47,70"	"CHF 106,00"	"CHF 148,40"	"CHF 185,50"	"CHF 190,80"	"CHF 137,80"	"CHF 58,30"	""	""
"Lager 25cl"	"CHF 3474,20"	"CHF 69,60"	"CHF 34,80"	"CHF 133,40"	"CHF 121,80"	"CHF 168,20"	"CHF 162,40"	"CHF 220,40"	"CHF 92,80"	"CHF 104,40"	"CHF 110,20"	"CHF 46,40"	"CHF 133,40"	"CHF 116,00"	"CHF 208,80"	"CHF 92,80"	"CHF 46,40"	"CHF 220,40"	"CHF 69,60"	"CHF 104,40"	"CHF 185,60"	"CHF 87,00"	"CHF 116,00"	"CHF 17,40"	"CHF 133,40"	"CHF 121,80"	"CHF 92,80"	"CHF 150,80"	"CHF 249,40"	"CHF 63,80"	""	""
"Coca Cola Zero 33cl"	"CHF 3224,80"	"CHF 116,00"	"CHF 104,40"	"CHF 69,60"	"CHF 87,00"	"CHF 174,00"	"CHF 150,80"	"CHF 197,20"	"CHF 133,40"	"CHF 34,80"	"CHF 81,20"	"CHF 63,80"	"CHF 139,20"	"CHF 104,40"	"CHF 150,80"	"CHF 63,80"	"CHF 5,80"	"CHF 52,20"	"CHF 98,60"	"CHF 110,20"	"CHF 220,40"	"CHF 150,80"	"CHF 58,00"	"CHF 69,60"	"CHF 150,80"	"CHF 121,80"	"CHF 121,80"	"CHF 121,80"	"CHF 145,00"	"CHF 127,60"	""	""
"Aperol Spritz 15cl"	"CHF 2990,00"	"CHF 78,00"	""	"CHF 91,00"	"CHF 104,00"	"CHF 130,00"	"CHF 208,00"	"CHF 325,00"	"CHF 26,00"	"CHF 39,00"	"CHF 117,00"	"CHF 52,00"	"CHF 78,00"	"CHF 208,00"	"CHF 429,00"	"CHF 13,00"	""	"CHF 13,00"	"CHF 65,00"	"CHF 39,00"	"CHF 260,00"	"CHF 130,00"	"CHF 39,00"	"CHF 39,00"	"CHF 13,00"	"CHF 39,00"	"CHF 130,00"	"CHF 169,00"	"CHF 104,00"	"CHF 52,00"	""	""
"Wasser mit 50cl"	"CHF 2652,00"	"CHF 54,00"	"CHF 66,00"	"CHF 60,00"	"CHF 90,00"	"CHF 78,00"	"CHF 90,00"	"CHF 102,00"	"CHF 114,00"	"CHF 36,00"	"CHF 114,00"	"CHF 72,00"	"CHF 150,00"	"CHF 150,00"	"CHF 96,00"	"CHF 54,00"	"CHF 60,00"	"CHF 78,00"	"CHF 126,00"	"CHF 96,00"	"CHF 132,00"	"CHF 126,00"	"CHF 78,00"	"CHF 78,00"	"CHF 54,00"	"CHF 114,00"	"CHF 60,00"	"CHF 120,00"	"CHF 138,00"	"CHF 66,00"	""	""
"Coca Cola 33cl"	"CHF 2360,60"	"CHF 133,40"	"CHF 58,00"	"CHF 46,40"	"CHF 63,80"	"CHF 87,00"	"CHF 98,60"	"CHF 191,40"	"CHF 127,60"	"CHF 46,40"	"CHF 34,80"	"CHF 63,80"	"CHF 75,40"	"CHF 121,80"	"CHF 179,80"	"CHF 52,20"	"CHF 5,80"	"CHF 87,00"	"CHF 116,00"	"CHF 87,00"	"CHF 81,20"	"CHF 87,00"	"CHF 87,00"	"CHF 46,40"	"CHF 75,40"	"CHF 40,60"	"CHF 34,80"	"CHF 81,20"	"CHF 104,40"	"CHF 46,40"	""	""
"Hugo 10cl"	"CHF 2210,00"	"CHF 65,00"	"CHF 52,00"	"CHF 26,00"	"CHF 26,00"	"CHF 78,00"	"CHF 39,00"	"CHF 325,00"	"CHF 65,00"	"CHF 65,00"	"CHF 26,00"	""	""	"CHF 104,00"	"CHF 325,00"	""	"CHF 26,00"	"CHF 52,00"	"CHF 39,00"	"CHF 26,00"	"CHF 143,00"	"CHF 91,00"	"CHF 52,00"	""	"CHF 91,00"	"CHF 39,00"	"CHF 91,00"	"CHF 104,00"	"CHF 208,00"	"CHF 52,00"	""	""
