"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Food (Speisen)"	"CHF 208793,90"	"CHF 5796,00"	"CHF 4629,50"	"CHF 4911,00"	"CHF 5133,00"	"CHF 10247,40"	"CHF 8975,50"	"CHF 12244,50"	"CHF 7242,50"	"CHF 4109,50"	"CHF 4626,00"	"CHF 4512,00"	"CHF 9175,00"	"CHF 10175,50"	"CHF 10636,00"	"CHF 5402,50"	"CHF 3151,50"	"CHF 6111,50"	"CHF 8207,00"	"CHF 6319,00"	"CHF 10693,00"	"CHF 9865,00"	"CHF 6350,00"	"CHF 3515,00"	"CHF 6195,50"	"CHF 5570,00"	"CHF 8283,00"	"CHF 9435,50"	"CHF 11461,50"	"CHF 5820,50"	""	""
"Die Carbonara Pasta Linguine"	"CHF 5250,00"	"CHF 175,00"	"CHF 50,00"	"CHF 175,00"	"CHF 75,00"	"CHF 100,00"	"CHF 250,00"	"CHF 600,00"	"CHF 250,00"	"CHF 62,50"	"CHF 75,00"	"CHF 75,00"	"CHF 150,00"	"CHF 100,00"	"CHF 400,00"	"CHF 175,00"	"CHF 75,00"	"CHF 212,50"	"CHF 250,00"	"CHF 125,00"	"CHF 312,50"	"CHF 150,00"	"CHF 125,00"	"CHF 100,00"	"CHF 62,50"	"CHF 200,00"	"CHF 250,00"	"CHF 250,00"	"CHF 250,00"	"CHF 175,00"	""	""
"Der Burger"	"CHF 5219,00"	"CHF 442,00"	""	"CHF 102,00"	"CHF 34,00"	"CHF 170,00"	"CHF 136,00"	"CHF 374,00"	"CHF 170,00"	"CHF 68,00"	"CHF 102,00"	"CHF 68,00"	""	"CHF 238,00"	"CHF 272,00"	"CHF 255,00"	"CHF 17,00"	"CHF 204,00"	"CHF 272,00"	"CHF 340,00"	"CHF 272,00"	"CHF 408,00"	"CHF 255,00"	"CHF 68,00"	"CHF 238,00"	"CHF 102,00"	"CHF 102,00"	"CHF 102,00"	"CHF 408,00"	""	""	""
"Menu"	"CHF 5140,00"	""	""	"CHF 180,00"	""	""	"CHF 180,00"	""	""	""	""	""	""	"CHF 2500,00"	""	""	""	""	"CHF 2280,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tagesmenu 2"	"CHF 5050,00"	""	"CHF 450,00"	"CHF 375,00"	"CHF 400,00"	"CHF 387,50"	"CHF 150,00"	""	""	"CHF 150,00"	"CHF 87,50"	"CHF 175,00"	"CHF 225,00"	"CHF 150,00"	""	""	"CHF 125,00"	"CHF 62,50"	"CHF 50,00"	"CHF 175,00"	"CHF 350,00"	""	""	"CHF 187,50"	"CHF 475,00"	"CHF 325,00"	"CHF 375,00"	"CHF 375,00"	""	""	""	""
"Die Limone Minze Ricotta Ravioli"	"CHF 5017,00"	"CHF 58,00"	"CHF 58,00"	"CHF 87,00"	"CHF 29,00"	"CHF 261,00"	"CHF 145,00"	"CHF 435,00"	"CHF 174,00"	"CHF 203,00"	"CHF 174,00"	"CHF 145,00"	"CHF 116,00"	"CHF 261,00"	"CHF 261,00"	"CHF 145,00"	"CHF 232,00"	"CHF 174,00"	"CHF 203,00"	"CHF 145,00"	"CHF 377,00"	"CHF 203,00"	"CHF 174,00"	"CHF 87,00"	"CHF 29,00"	"CHF 116,00"	"CHF 58,00"	"CHF 145,00"	"CHF 435,00"	"CHF 87,00"	""	""
"Pizza Royal Margherita"	"CHF 5016,00"	"CHF 240,00"	"CHF 216,00"	"CHF 72,00"	"CHF 120,00"	"CHF 240,00"	"CHF 240,00"	"CHF 240,00"	"CHF 312,00"	"CHF 120,00"	"CHF 144,00"	"CHF 96,00"	"CHF 96,00"	"CHF 216,00"	"CHF 264,00"	"CHF 72,00"	""	"CHF 24,00"	"CHF 120,00"	"CHF 120,00"	"CHF 240,00"	"CHF 408,00"	"CHF 192,00"	"CHF 96,00"	"CHF 216,00"	"CHF 168,00"	"CHF 72,00"	"CHF 288,00"	"CHF 312,00"	"CHF 72,00"	""	""
"Die Lachspasta Trofie"	"CHF 4914,00"	"CHF 243,00"	"CHF 81,00"	""	"CHF 27,00"	"CHF 162,00"	"CHF 189,00"	"CHF 378,00"	"CHF 189,00"	"CHF 108,00"	"CHF 54,00"	"CHF 27,00"	"CHF 108,00"	"CHF 297,00"	"CHF 270,00"	"CHF 135,00"	"CHF 135,00"	"CHF 162,00"	"CHF 54,00"	"CHF 108,00"	"CHF 432,00"	"CHF 297,00"	"CHF 216,00"	"CHF 27,00"	"CHF 81,00"	"CHF 108,00"	"CHF 108,00"	"CHF 351,00"	"CHF 405,00"	"CHF 162,00"	""	""
"Fleisch menu"	"CHF 4902,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 2782,00"	""	""	""	"CHF 230,00"	""	""	""	""	""	""	""	""	""	"CHF 1890,00"	""	""	""	""	""
"Die San Remo Pasta Campanelle"	"CHF 4830,00"	"CHF 56,00"	"CHF 112,00"	"CHF 168,00"	"CHF 112,00"	"CHF 252,00"	"CHF 168,00"	"CHF 462,00"	"CHF 98,00"	"CHF 28,00"	"CHF 168,00"	"CHF 56,00"	"CHF 196,00"	"CHF 84,00"	"CHF 420,00"	"CHF 182,00"	""	"CHF 168,00"	"CHF 56,00"	"CHF 112,00"	"CHF 168,00"	"CHF 224,00"	"CHF 252,00"	"CHF 112,00"	"CHF 168,00"	"CHF 224,00"	"CHF 84,00"	"CHF 448,00"	"CHF 196,00"	"CHF 56,00"	""	""
"Die Rind Pasta Campanelle"	"CHF 4788,00"	"CHF 112,00"	"CHF 42,00"	"CHF 28,00"	"CHF 28,00"	"CHF 168,00"	"CHF 280,00"	"CHF 448,00"	"CHF 308,00"	"CHF 84,00"	""	"CHF 28,00"	"CHF 210,00"	"CHF 112,00"	"CHF 406,00"	"CHF 224,00"	"CHF 28,00"	"CHF 196,00"	"CHF 56,00"	"CHF 112,00"	"CHF 392,00"	"CHF 168,00"	"CHF 98,00"	"CHF 84,00"	"CHF 56,00"	"CHF 196,00"	"CHF 112,00"	"CHF 224,00"	"CHF 336,00"	"CHF 252,00"	""	""
"Die Gamberi Pasta Linguine"	"CHF 4741,50"	"CHF 203,00"	""	"CHF 116,00"	"CHF 87,00"	"CHF 29,00"	"CHF 261,00"	"CHF 580,00"	"CHF 174,00"	"CHF 145,00"	"CHF 29,00"	"CHF 29,00"	"CHF 87,00"	"CHF 261,00"	"CHF 319,00"	"CHF 58,00"	""	"CHF 145,00"	"CHF 58,00"	"CHF 116,00"	"CHF 232,00"	"CHF 304,50"	"CHF 130,50"	"CHF 43,50"	"CHF 116,00"	"CHF 261,00"	"CHF 58,00"	"CHF 174,00"	"CHF 333,50"	"CHF 391,50"	""	""
"Pizza Prosciutto TA"	"CHF 4650,00"	"CHF 30,00"	"CHF 150,00"	"CHF 260,00"	"CHF 200,00"	"CHF 240,00"	"CHF 240,00"	"CHF 140,00"	"CHF 110,00"	"CHF 230,00"	"CHF 240,00"	"CHF 220,00"	"CHF 160,00"	"CHF 200,00"	"CHF 40,00"	"CHF 40,00"	"CHF 90,00"	"CHF 200,00"	"CHF 120,00"	"CHF 210,00"	"CHF 340,00"	"CHF 160,00"	"CHF 60,00"	"CHF 110,00"	"CHF 230,00"	"CHF 180,00"	"CHF 150,00"	"CHF 200,00"	"CHF 100,00"	""	""	""
"Der Gemischte"	"CHF 4074,00"	"CHF 96,00"	"CHF 48,00"	"CHF 120,00"	"CHF 72,00"	"CHF 120,00"	"CHF 108,00"	"CHF 228,00"	"CHF 132,00"	"CHF 48,00"	"CHF 60,00"	"CHF 120,00"	"CHF 60,00"	"CHF 132,00"	"CHF 288,00"	"CHF 144,00"	"CHF 60,00"	"CHF 144,00"	"CHF 204,00"	"CHF 96,00"	"CHF 168,00"	"CHF 300,00"	"CHF 150,00"	"CHF 96,00"	"CHF 156,00"	"CHF 108,00"	"CHF 180,00"	"CHF 228,00"	"CHF 276,00"	"CHF 132,00"	""	""
